dataset,protein,cell,arm,pairs,gc_gap_median,gc_gap_p90,gc_gap_max,dinuc_l1_median,dinuc_l1_p90,dinuc_l1_max
PCBP2:HepG2,PCBP2,HepG2,dn,8520,0.03959999999999997,0.1089,0.3565,0.32,0.6,1.16
PCBP2:HepG2,PCBP2,HepG2,neg2,8589,0.12869999999999998,0.28719999999999996,0.5841999999999999,0.8200000000000001,1.2000000000000002,1.92
PHF6:K562,PHF6,K562,gc,676,0.02970000000000006,0.06930000000000003,0.14850000000000008,0.52,0.75,1.46
PHF6:K562,PHF6,K562,dn,695,0.029700000000000004,0.06940000000000002,0.19809999999999994,0.24,0.4,0.6599999999999999
PHF6:K562,PHF6,K562,neg2,676,0.15839999999999999,0.34659999999999996,0.4852,0.7,1.04,1.58
PPIL4:K562,PPIL4,K562,gc,658,0.029699999999999976,0.04949999999999999,0.12869999999999993,0.4600000000000001,0.7000000000000001,1.56
PPIL4:K562,PPIL4,K562,dn,659,0.01980000000000004,0.04959999999999998,0.10900000000000004,0.21999999999999997,0.27999999999999997,0.62
PPIL4:K562,PPIL4,K562,neg2,658,0.11879999999999999,0.2703400000000007,0.5050000000000001,0.6599999999999999,0.9800000000000001,1.4400000000000002
PRPF4:HepG2,PRPF4,HepG2,gc,8867,0.03959999999999997,0.08910000000000007,0.14850000000000008,0.56,0.8200000000000001,1.8599999999999999
PRPF4:HepG2,PRPF4,HepG2,dn,9155,0.03969999999999996,0.12870000000000004,0.3762,0.28,0.46,1.04
PRPF4:HepG2,PRPF4,HepG2,neg2,8867,0.16840000000000005,0.3466,0.6535,0.76,1.1,1.7800000000000002
PTBP1:HepG2,PTBP1,HepG2,gc,8349,0.029700000000000004,0.04949999999999999,0.14849999999999997,0.76,1.2,1.92
PTBP1:HepG2,PTBP1,HepG2,dn,8001,0.029700000000000004,0.07919999999999999,0.26739999999999997,0.31999999999999995,0.64,1.1600000000000001
PTBP1:HepG2,PTBP1,HepG2,neg2,8349,0.12869999999999998,0.2971,0.6237999999999999,0.88,1.28,1.98
PTBP1:K562,PTBP1,K562,gc,7785,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.74,1.14,1.9200000000000002
PTBP1:K562,PTBP1,K562,dn,7623,0.029700000000000004,0.06940000000000002,0.26739999999999997,0.30000000000000004,0.6,1.1800000000000002
PTBP1:K562,PTBP1,K562,neg2,7785,0.1189,0.28719999999999996,0.5644,0.8600000000000001,1.26,1.92
PUM1:K562,PUM1,K562,gc,2651,0.029700000000000004,0.04949999999999999,0.14850000000000008,0.5,0.74,1.52
PUM1:K562,PUM1,K562,dn,2658,0.01980000000000004,0.05940000000000001,0.1486,0.22,0.30000000000000004,0.6799999999999999
PUM1:K562,PUM1,K562,neg2,2651,0.12870000000000004,0.3268,0.5941,0.6799999999999999,1.06,1.76
QKI:HepG2,QKI,HepG2,gc,9988,0.029700000000000004,0.04949999999999999,0.11880000000000002,0.48000000000000004,0.72,1.58
QKI:HepG2,QKI,HepG2,dn,9990,0.019799999999999984,0.04949999999999999,0.17830000000000001,0.18000000000000002,0.26,0.74
QKI:HepG2,QKI,HepG2,neg2,9988,0.15840000000000004,0.34659999999999996,0.6535,0.7,1.06,1.88
QKI:K562,QKI,K562,gc,2189,0.029700000000000004,0.04949999999999999,0.13860000000000006,0.5,0.74,1.2400000000000002
