dataset,protein,cell,pairs,auroc_gc,auroc_dn,cost,composition_auroc_gc,composition_auroc_dn,delta_auroc_gc,delta_auroc_dn,delta_p_gc,delta_p_dn,helps_gc,helps_dn,contrast,total_gain,dominant,dominant_frac,frac_exon_nc,frac_intron,frac_utr5,frac_utr3,frac_cds
KHSRP:HepG2,KHSRP,HepG2,5280,0.8884034951790634,0.7353382507693615,-0.1530652444097018,0.8599891672405876,0.6447149788544675,0.0286389104109275,0.0913286890127274,4.5890747412339597e-48,3.539485915596634e-79,True,True,0.06268977860179989,0.1199675994236549,intron,0.6865530303030303,0.16609848484848486,0.6865530303030303,0.011931818181818182,0.13106060606060607,0.004356060606060606
KHSRP:K562,KHSRP,K562,23198,0.9167134017108076,0.7545567402493343,-0.1621566614614733,0.8967359254364908,0.6855158643160228,0.0200567018090463,0.0696520801128947,2.489329248777012e-176,1.001732305337966e-265,True,True,0.0495953783038484,0.089708781921941,intron,0.8013190792309682,0.11880334511595828,0.8013190792309682,0.005862574359858609,0.07082507112682128,0.0031899301663936546
LARP4:HepG2,LARP4,HepG2,5421,0.682985109081863,0.6299279762825871,-0.0530571327992759,0.6499371955332587,0.5621258381231131,0.0330614228127098,0.0645659684058932,1.4951639508436913e-21,1.5443635127199614e-31,True,True,0.03150454559318339,0.097627391218603,utr3,0.6843755764619074,0.011252536432392548,0.04501014572957019,0.0549714074893931,0.6843755764619074,0.20439033388673677
LARP4:K562,LARP4,K562,430,0.6770037858301785,0.6009572742022714,-0.0760465116279071,0.7424391563007031,0.5990427257977285,0.0023904813412654,0.0135803136830718,0.4891625876769869,0.1911500712507573,False,False,0.011189832341806401,0.015970795024337202,utr3,0.4883720930232558,0.023255813953488372,0.1813953488372093,0.14883720930232558,0.4883720930232558,0.15813953488372093
LIN28B:K562,LIN28B,K562,6916,0.7553976019262465,0.6687583272257255,-0.086639274700521,0.7304572995419546,0.5736810201305194,0.0333439219907668,0.094841267982877,1.2925815462178756e-43,7.508440206640821e-76,True,True,0.061497345992110194,0.1281851899736438,utr3,0.4723828802776171,0.02443609022556391,0.05610179294389821,0.05133024869866975,0.4723828802776171,0.395748987854251
LSM11:K562,LSM11,K562,1319,0.7554802067640325,0.7027147319932111,-0.0527654747708213,0.7270613607271345,0.6033963571177983,0.0343098850934122,0.0932812990644874,3.577422818135572e-11,6.256618058464579e-20,True,True,0.0589714139710752,0.1275911841578996,intron,0.5860500379075056,0.14404852160727824,0.5860500379075056,0.04245640636846096,0.20090978013646701,0.026535253980288095
MATR3:HepG2,MATR3,HepG2,6984,0.929502071663721,0.6975058620539585,-0.2319962096097625,0.920244227027183,0.6461099289007604,0.0098022488646936,0.0523280427513306,2.637750560245873e-31,1.750989069311522e-47,True,True,0.042525793886637,0.0621302916160242,intron,0.9354238258877434,0.04209621993127148,0.9354238258877434,0.003293241695303551,0.015320733104238258,0.003865979381443299
MATR3:K562,MATR3,K562,4864,0.9599942025055186,0.7411466597876946,-0.218847542717824,0.9562815404664776,0.6839996028373394,0.0049857353569727,0.0574809540147807,4.481004149170468e-16,1.6803262264943106e-46,True,True,0.052495218657808,0.0624666893717534,intron,0.9070723684210527,0.05098684210526316,0.9070723684210527,0.003700657894736842,0.032689144736842105,0.005550986842105263
MBNL1:K562,MBNL1,K562,1194,0.7928777051084568,0.6977500062292187,-0.0951276988792381,0.7743344023299076,0.6282679173091991,0.0338550653883599,0.0706296494195751,1.0653034773336788e-10,2.4940920494450365e-13,True,True,0.036774584031215196,0.104484714807935,intron,0.5443886097152428,0.13651591289782244,0.5443886097152428,0.02847571189279732,0.24371859296482412,0.04690117252931323
METTL1:K562,METTL1,K562,481,0.7089569979382869,0.6911320404043898,-0.0178249575338971,0.7281304973612667,0.6124454856263588,0.0115576955493794,0.0758295477630197,0.0364257594178674,6.214019021243801e-07,True,True,0.0642718522136403,0.0873872433123991,intron,0.7006237006237006,0.18503118503118504,0.7006237006237006,0.018711018711018712,0.0395010395010395,0.056133056133056136
MORC2:K562,MORC2,K562,823,0.7621672776449848,0.6203738343656039,-0.1417934432793809,0.7912565385506894,0.6487735567421313,0.0042889053916191,0.0046543499592509,0.1172940271751229,0.2242948142511066,False,False,0.00036544456763180043,0.00894325535087,intron,0.6342648845686513,0.15066828675577157,0.6342648845686513,0.10328068043742406,0.054678007290400975,0.05710814094775213
MTPAP:K562,MTPAP,K562,1077,0.7271669214236389,0.6227912445252705,-0.1043756768983684,0.7266875817399169,0.5751081304368956,0.0179304078094435,0.0455362783690528,0.0006192192851818,1.1728495301734272e-05,True,True,0.0276058705596093,0.0634666861784963,cds,0.3500464252553389,0.10306406685236769,0.31197771587743733,0.0510677808727948,0.18384401114206128,0.3500464252553389
NCBP2:HepG2,NCBP2,HepG2,3186,0.7924053917622178,0.6634328412706892,-0.1289725504915285,0.7769400929758212,0.5990981520649988,0.0201623628799729,0.0648195516204551,4.709002568368148e-15,7.746836890283284e-24,True,True,0.04465718874048219,0.084981914500428,utr5,0.6679221594475832,0.1016949152542373,0.09227871939736347,0.6679221594475832,0.005963590709353421,0.13214061519146264
NKRF:HepG2,NKRF,HepG2,3537,0.8694646017235783,0.7916626952247382,-0.0778019064988401,0.875137815679138,0.7893545117016048,0.0023809049916911,0.0099980297942898,0.0048294226866355,2.1973679689697648e-08,True,True,0.007617124802598699,0.0123789347859809,intron,0.771557817359344,0.07803223070398643,0.771557817359344,0.08425219112242013,0.04353972292903591,0.02261803788521346
NOLC1:K562,NOLC1,K562,1567,0.7845960621285617,0.6014219643798937,-0.183174097748668,0.7953063524210453,0.5822025234289423,0.0061775882522787,0.0293918617388129,0.0056202722307531,4.186507310271635e-05,True,True,0.023214273486534202,0.0355694499910916,utr3,0.618379068283344,0.05807275047862157,0.16464582003828973,0.04020421186981493,0.618379068283344,0.11869814932992981
