dataset,gain_gc_k3,gain_dn_k3,contrast_k3,gain_gc_k4,gain_dn_k4,contrast_k4,gain_gc_k5,gain_dn_k5,contrast_k5,gain_gc_k6,gain_dn_k6,contrast_k6
PCBP2:HepG2,0.005210115243105107,0.019949588869173085,0.014739473626067978,0.007932163406228931,0.03060836555253521,0.02267620214630628,0.007668062053881597,0.030776553060173573,0.023108491006291976,0.0058548543809016085,0.02162592005830144,0.01577106567739983
PHF6:K562,0.0006433598263365647,0.018143988406397082,0.017500628580060518,0.00810108189489167,0.016460845711919636,0.008359763817027965,0.004564791148769287,4.140572434030432e-06,-0.004560650576335257,0.009199607856867797,0.017322084778220614,0.008122476921352817
PPIL4:K562,-0.014862667565894383,-0.007354685100200209,0.007507982465694174,-0.003060300625456036,0.062349032078308664,0.0654093327037647,-0.00605824040797831,0.023968352288034733,0.030026592696013044,-0.009187830858916612,0.040374780384129116,0.04956261124304573
PRPF4:HepG2,0.002154096330941435,0.007874006549336121,0.005719910218394686,0.005732051061608123,0.016095682014058865,0.010363630952450742,0.005916435694081845,0.014928246392918565,0.00901181069883672,0.0033681579097616376,0.009347424194139808,0.005979266284378171
PTBP1:HepG2,0.002602667172564299,0.028971536924816355,0.026368869752252055,0.004039878976500044,0.04252292622709719,0.03848304725059715,0.0032169202101270944,0.037823714164135436,0.03460679395400834,0.0026145887054652706,0.02548381598436722,0.02286922727890195
PTBP1:K562,0.002143773185015352,0.024575174618338358,0.022431401433323006,0.0027122791429428084,0.03835836509468693,0.03564608595174412,0.0024943972339476206,0.03434861513311005,0.03185421789916243,0.001720582332920495,0.02152652349455586,0.019805941161635365
PUM1:K562,0.020199490566110256,0.07006730678316264,0.049867816217052385,0.037486263484125426,0.11354268754943408,0.07605642406530866,0.035396278295301786,0.09370040668289326,0.05830412838759147,0.023097979012211778,0.06792023285610527,0.04482225384389349
QKI:HepG2,0.06226249031877906,0.14278346414482546,0.0805209738260464,0.11511481980218474,0.24955686417147882,0.13444204436929408,0.12912185652017505,0.27837232628023423,0.14925046976005918,0.11482757081826189,0.2626773620467314,0.14784979122846953
QKI:K562,0.05100714336247869,0.14376588286338032,0.09275873950090163,0.09027654155991127,0.2376649224777485,0.14738838091783724,0.08855920451128096,0.23727403995349472,0.14871483544221376,0.09868416796386936,0.2530170266591064,0.15433285869523705
RBFOX2:K562,0.024103956944061977,0.07015026049874507,0.04604630355468309,0.03588983458579231,0.08843826809216015,0.05254843350636784,0.03864377221900761,0.09212668515437783,0.05348291293537022,0.02805279440473163,0.06501918178756161,0.03696638738282998
RBM15:HepG2,0.021902614074432725,0.027463999999999933,0.005561385925567208,0.030791606644806957,0.042848888888888825,0.012057282244081868,0.012927934738087954,0.027207111111111182,0.014279176373023228,0.021366959631663573,0.03985022222222212,0.018483262590558547
RPS3:HepG2,0.05169134219683269,0.09225100181289037,0.040559659616057675,0.07458635150877868,0.12359767749090644,0.04901132598212776,0.08189353759519591,0.1299154929859041,0.04802195539070819,0.0524822515776715,0.0919583703652056,0.0394761187875341
RPS3:K562,0.04317142719177158,0.1024341744182411,0.059262747226469514,0.05237109199112433,0.12399615810083364,0.07162506610970931,0.046326183443418656,0.11112003730993136,0.06479385386651271,0.047284103217994033,0.09223490611376695,0.04495080289577291
SAFB2:K562,0.00692118786069118,0.050269747835853695,0.043348559975162515,0.007262189303455346,0.041457428752100234,0.03419523944864489,0.007870712798597523,0.05014568894276428,0.042274976144166754,0.0069382379328293275,0.027402747529951088,0.02046450959712176
SLTM:K562,0.013487166688221808,0.03470119852674791,0.021214031838526104,0.01827881463119363,0.03295601376645341,0.014677199135259777,0.014182357253420985,0.030484542929598013,0.016302185676177028,0.0142564169690379,0.01924201485327859,0.004985597884240689
SMNDC1:K562,0.008601292505019509,0.03147908446444969,0.022877791959430183,0.024328082948866014,0.07787664215857726,0.053548559209711244,0.019518901651074394,0.0561740225222076,0.03665512087113321,0.016865675327865426,0.04263058066480441,0.02576490533693898
SND1:K562,0.05152683078402309,0.10703957214440418,0.05551274136038109,0.08157279458752786,0.14191096056655061,0.06033816597902275,0.08219518200845422,0.14133386484163923,0.05913868283318502,0.05955413938054399,0.12194396390554108,0.062389824524997084
SRSF1:HepG2,0.032647025758689274,0.09299677866969935,0.06034975291101008,0.03910102465452625,0.11434958775514159,0.07524856310061534,0.034546587005760965,0.10107488868126235,0.06652830167550139,0.02772369870190383,0.09789595661164552,0.07017225790974169
SRSF1:K562,0.04371026826349256,0.13071742559657762,0.08700715733308506,0.06838867962929085,0.17676298228806342,0.10837430265877257,0.06722441946477165,0.1787678051686964,0.11154338570392475,0.04481764362624241,0.14634671212530392,0.10152906849906151
STAU2:HepG2,0.0026461146123074597,0.016242435030260016,0.013596320417952557,0.006509498366630728,0.019589656016375967,0.013080157649745239,0.005546120818546552,0.012821511213955139,0.0072753903954085875,0.009849583335684198,0.012551731043075831,0.0027021477073916333
SUB1:HepG2,0.002363301501083992,0.020108629006121204,0.01774532750503721,0.006844590235884684,0.03571357275651266,0.028868982520627973,0.006976038181025435,0.03129958218834605,0.02432354400732062,0.0033942657766991013,0.021051665151976318,0.017657399375277216
TAF15:HepG2,-0.000244140625,0.011961195203993191,0.012205335828993191,0.0024549696180556912,0.02955288357204866,0.02709791395399297,0.00735982259114587,0.01637607150607656,0.009016248914930691,0.009370591905381809,0.02236260308159732,0.012992011176215512
TIA1:HepG2,0.00401379388320422,0.03779870551049502,0.0337849116272908,0.0036792831837123563,0.044329357896677024,0.04065007471296467,0.0029018803180930197,0.035057390328158355,0.032155510010065336,0.004188073957639649,0.032871028396278756,0.028682954438639108
TIA1:K562,0.0045694246044939435,0.03501331664667651,0.030443892042182563,0.008742296928571203,0.04943713883126777,0.040694841902696566,0.008795207820247453,0.05059635179039035,0.041801143970142896,0.003965611038005967,0.03067097771378413,0.026705366675778164
TRA2A:HepG2,0.005370982986767303,0.09667889196584445,0.09130790897907715,0.005173676748582157,0.11261775839649335,0.1074440816479112,0.010556474480151068,0.09031159776525755,0.07975512328510648,0.015134688090737258,0.11117123553329766,0.0960365474425604
U2AF1:K562,0.011642295197230479,0.07573005486152429,0.06408775966429381,0.020374844168027928,0.11567387137286,0.09529902720483208,0.02656111691883367,0.11100535395597855,0.08444423703714488,0.0343449363464049,0.14645581333862123,0.11211087699221634
U2AF2:HepG2,0.02962650867026828,0.10366153263828248,0.0740350239680142,0.05279136765199044,0.15268285931426262,0.09989149166227218,0.06018355199431491,0.17431362284642926,0.11413007085211435,0.05271008772091135,0.16090166621608248,0.10819157849517114
UCHL5:HepG2,0.028200486161240823,0.09179471947975726,0.06359423331851644,0.04999978904483726,0.1270808811924058,0.07708109214756853,0.03251441878537642,0.09511602716970469,0.06260160838432827,0.022517153166105475,0.0734143167393626,0.05089716357325713
XPO5:HepG2,0.030221731425834397,0.025070821629501916,-0.005150909796332481,0.044444810422912706,0.03772389483161154,-0.006720915591301169,0.04451771718619002,0.036718365028071465,-0.007799352158118555,0.03585067288753019,0.021770311845235923,-0.014080361042294265
YBX3:HepG2,-0.0062047477951384655,0.035162421662233156,0.04136716945737162,-0.007394229178854461,0.032923685848887496,0.04031791502774196,0.004587965329078125,0.024007114071683655,0.01941914874260553,0.00833309127607218,0.020271171222160267,0.011938079946088087
YBX3:K562,0.06658972984472755,0.10494298338142194,0.03835325353669439,0.09985639629298348,0.15112817980371696,0.05127178351073347,0.11195924634632759,0.16362117732443837,0.05166193097811078,0.10511872035565784,0.1534900085103088,0.04837128815465097
YWHAG:K562,0.001703252683864731,0.016780673488231868,0.015077420804367136,0.013440153821502987,0.009013762476366427,-0.00442639134513656,0.004576189713186962,0.010139697614964804,0.005563507901777842,0.009919884633872722,0.011589123183899708,0.0016692385500269857
ZNF622:K562,0.03907886006482475,0.10184012644101614,0.0627612663761914,0.0662078429519174,0.16040694358426932,0.09419910063235193,0.07937151272006904,0.18161096742919747,0.10223945470912843,0.07012058228956686,0.16809824812595864,0.09797766583639178
ZNF800:HepG2,0.03949341167430165,0.08822749808731478,0.048734086413013133,0.05154118933246221,0.11484069915999406,0.06329950982753185,0.048825094291293336,0.11194537343353284,0.0631202791422395,0.030164165225074258,0.0703564614930483,0.04019229626797405
ZNF800:K562,0.02673203610560726,0.11122823088807465,0.0844961947824674,0.04008704635133531,0.15236811133490258,0.11228106498356727,0.037704279496689086,0.1459898862438357,0.1082856067471466,0.030910091618824964,0.1116402565782556,0.08073016495943064
