dataset,model,published,recomputed,abs_diff,note
PTBP1:K562,kmer (rehearsal),0.8371070154444764,0.8371070154444766,2.220446049250313e-16,
PUM1:K562,kmer (rehearsal),0.7036061330248816,0.7036061330248817,1.1102230246251565e-16,
QKI:HepG2,kmer (rehearsal),0.8695394693993294,0.8695394693993292,1.1102230246251565e-16,
QKI:K562,kmer (rehearsal),0.9153356382811102,0.9153356382811102,0.0,
RBFOX2:K562,kmer (rehearsal),0.7185950567055259,0.7185950567055261,2.220446049250313e-16,
RBM15:HepG2,kmer (rehearsal),0.6327902222222223,0.6327902222222221,1.1102230246251565e-16,
RPS3:HepG2,kmer (rehearsal),0.6804001653829993,0.6804001653829993,0.0,
RPS3:K562,kmer (rehearsal),0.6963264505231068,0.6963264505231068,0.0,
SAFB2:K562,kmer (rehearsal),0.5853899715328,0.5853899715328,0.0,
SLTM:K562,kmer (rehearsal),0.6600526053616712,0.6600526053616713,1.1102230246251565e-16,
SMNDC1:K562,kmer (rehearsal),0.6688980411357379,0.6688980411357379,0.0,
SND1:K562,kmer (rehearsal),0.7069942736735173,0.7069942736735174,1.1102230246251565e-16,
SRSF1:HepG2,kmer (rehearsal),0.7320272807676325,0.7320272807676323,1.1102230246251565e-16,
SRSF1:K562,kmer (rehearsal),0.7755832090240002,0.7755832090240002,0.0,
STAU2:HepG2,kmer (rehearsal),0.6123245038269847,0.6123245038269847,0.0,
SUB1:HepG2,kmer (rehearsal),0.6430961906988173,0.6430961906988173,0.0,
TAF15:HepG2,kmer (rehearsal),0.6655222574869791,0.6655222574869791,0.0,
TIA1:HepG2,kmer (rehearsal),0.6404297659662792,0.6404297659662793,1.1102230246251565e-16,
TIA1:K562,kmer (rehearsal),0.6648513368611895,0.6648513368611894,1.1102230246251565e-16,
TRA2A:HepG2,kmer (rehearsal),0.8022071557493684,0.8022071557493684,0.0,
U2AF1:K562,kmer (rehearsal),0.7317449930596867,0.7317449930596867,0.0,
U2AF2:HepG2,kmer (rehearsal),0.7511691584884274,0.7511691584884276,2.220446049250313e-16,
UCHL5:HepG2,kmer (rehearsal),0.6947994791316748,0.694799479131675,1.1102230246251565e-16,
XPO5:HepG2,kmer (rehearsal),0.6694342368906329,0.669434236890633,1.1102230246251565e-16,
YBX3:HepG2,kmer (rehearsal),0.614830959258126,0.6148309592581258,2.220446049250313e-16,
YBX3:K562,kmer (rehearsal),0.7071034301251913,0.7071034301251913,0.0,
YWHAG:K562,kmer (rehearsal),0.5880239445732125,0.5880239445732125,0.0,
ZNF622:K562,kmer (rehearsal),0.7323849653146264,0.7323849653146264,0.0,
ZNF800:HepG2,kmer (rehearsal),0.6853174130579747,0.6853174130579747,0.0,
ZNF800:K562,kmer (rehearsal),0.7443617359746117,0.7443617359746119,1.1102230246251565e-16,
