dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
METTL1:K562,METTL1,K562,gc,splicebert,962,1.0,5,5,0.0,0.0
METTL1:K562,METTL1,K562,dn,cnn,962,1.0,5,5,0.0,0.0
METTL1:K562,METTL1,K562,dn,splicebert,962,1.0,5,5,0.0,0.0
MORC2:K562,MORC2,K562,gc,cnn,1646,1.0,5,5,0.0,0.0
MORC2:K562,MORC2,K562,gc,splicebert,1646,1.0,5,5,0.0,0.0
MORC2:K562,MORC2,K562,dn,cnn,1782,1.0,5,5,0.0,0.0
MORC2:K562,MORC2,K562,dn,splicebert,1782,1.0,5,5,0.0,0.0
MTPAP:K562,MTPAP,K562,gc,cnn,2154,1.0,5,5,0.0,0.0
MTPAP:K562,MTPAP,K562,gc,splicebert,2154,1.0,5,5,0.0,0.0
MTPAP:K562,MTPAP,K562,dn,cnn,2166,1.0,5,5,0.0,0.0
MTPAP:K562,MTPAP,K562,dn,splicebert,2166,1.0,5,5,0.0,0.0
NCBP2:HepG2,NCBP2,HepG2,gc,cnn,6372,1.0,5,5,0.0,0.0
NCBP2:HepG2,NCBP2,HepG2,gc,splicebert,6372,1.0,5,5,0.0,0.0
NCBP2:HepG2,NCBP2,HepG2,dn,cnn,6452,1.0,5,5,0.0,0.0
NCBP2:HepG2,NCBP2,HepG2,dn,splicebert,6452,1.0,5,5,0.0,0.0
NKRF:HepG2,NKRF,HepG2,gc,cnn,7074,1.0,5,5,0.0,0.0
NKRF:HepG2,NKRF,HepG2,gc,splicebert,7074,1.0,5,5,0.0,0.0
NKRF:HepG2,NKRF,HepG2,dn,cnn,7584,0.6656118143459916,23,5,0.2190137130801688,0.0
NKRF:HepG2,NKRF,HepG2,dn,splicebert,7584,0.6656118143459916,23,5,0.2190137130801688,0.0
NOLC1:K562,NOLC1,K562,gc,cnn,3134,1.0,5,5,0.0,0.0
NOLC1:K562,NOLC1,K562,gc,splicebert,3134,1.0,5,5,0.0,0.0
NOLC1:K562,NOLC1,K562,dn,cnn,3140,1.0,5,5,0.0,0.0
NOLC1:K562,NOLC1,K562,dn,splicebert,3140,1.0,5,5,0.0,0.0
NONO:K562,NONO,K562,gc,cnn,22328,1.0,5,5,0.0,0.0
NONO:K562,NONO,K562,gc,splicebert,22328,1.0,5,5,0.0,0.0
NONO:K562,NONO,K562,dn,cnn,22666,0.7698755845760169,23,5,0.3014647489632048,0.0
NONO:K562,NONO,K562,dn,splicebert,22666,0.7698755845760169,23,5,0.3014647489632048,0.0
PCBP1:HepG2,PCBP1,HepG2,gc,cnn,1858,1.0,5,5,0.0,0.0
PCBP1:HepG2,PCBP1,HepG2,gc,splicebert,1858,1.0,5,5,0.0,0.0
PCBP1:HepG2,PCBP1,HepG2,dn,cnn,1880,1.0,5,5,0.0,0.0
